night,observationStartMJD,azimuth,altitude,rotTelPos,rotSkyPos,filter,band,scheduler_note,survey
180,61387.028675090594,226.8397879147623,30.912225666754924,46.945478558822096,324.8000473612892,z_20,z,"twilight_near_sun, 0",twilight
181,61388.0288089902,274.3617282845057,69.96474994516609,47.65594973442969,327.5660309032576,r_57,r,greedy r,WFD (greedy)
182,61389.028851089286,331.43570038096794,58.03795986621252,2.9414086350685187,62.63283289622212,r_57,r,greedy r,WFD (greedy)
183,61390.20055881774,287.9092258687925,36.34877761140719,35.350440833907236,358.97765437533883,r_57,r,"DD:XMM_LSS, 20261215, 2, 546",DDF
184,61391.03048383622,237.05004472490026,33.10400286536526,32.70867563589774,340.29628381653123,i_39,i,"twilight_near_sun, 0",twilight
185,61392.03030288248,44.701396845619755,64.43763113849526,19.67203031037266,108.45544495700251,r_57,r,greedy r,WFD (greedy)
186,61393.03057492428,27.215754191855087,65.28353520685904,-14.582393525003404,127.9927683136861,r_57,r,greedy r,WFD (greedy)
187,61394.030965714504,8.100100034680999,73.59172519266794,-47.540962785984966,144.66907476557998,r_57,r,greedy r,WFD (greedy)
188,61395.032034731994,243.21692116783584,31.939885455578278,29.69040479780347,346.4695425740748,r_57,r,"twilight_near_sun, 0",twilight
189,61396.03185796859,312.6665102281291,74.32764018041112,-27.464134004909027,75.18412775900018,r_57,r,greedy r,WFD (greedy)
190,61397.03203051559,353.50249439051413,68.08573383468479,53.33201996432055,30.922781006089938,r_57,r,greedy r,WFD (greedy)
191,61398.03232298509,338.9893699476015,60.61216405514133,-30.361206128842724,102.24314413154285,r_57,r,greedy r,WFD (greedy)
192,61399.03287683413,60.33395042703499,30.901209360484724,-45.25182466161178,184.13462994472832,r_57,r,"ToO, neutrino, r, 55, i5, 192",ToO
195,61402.033597464484,57.81812908482538,33.2837091192335,-38.44870270416952,175.64616603045303,r_57,r,"ToO, neutrino, r, 55, i7, 197",ToO
196,61403.03422368215,247.86216294888007,32.089380969523184,12.002226050440063,5.69792466255838,i_39,i,"twilight_near_sun, 0",twilight
197,61404.03381429847,36.331318545457236,53.60228904084318,45.24368145060166,75.41140579752108,r_57,r,greedy r,WFD (greedy)
198,61405.1314168708,295.9124488166144,44.606665852289375,-47.04878763218332,85.71564728619308,y_10,y,"DD:XMM_LSS, 20261230, 0, 150",DDF
199,61406.03405478847,8.58055872206066,56.60717542887868,-22.220835712249354,119.52701252626062,r_57,r,greedy r,WFD (greedy)
201,61408.0344410328,52.49556434459323,37.69131342764899,56.709002914637864,76.7211165994342,u_24,u,"ToO, neutrino, u, 55, i0, 181",ToO
202,61409.03424438961,357.8117064730471,71.134812567714,1.1562772092420164,86.8101510349884,r_57,r,greedy r,WFD (greedy)
203,61410.03433683085,347.85294713683766,73.27430457487227,-41.55369680114536,120.66066736626223,r_57,r,greedy r,WFD (greedy)
204,61411.035066815944,244.56229373974872,32.36099183442226,-58.26916057480391,74.56814564380488,i_39,i,"twilight_near_sun, 0",twilight
205,61412.03436882058,16.467740891727036,61.1115776570075,-31.86324370563214,135.92665081925804,r_57,r,greedy r,WFD (greedy)
206,61413.03433949642,357.99607379819975,67.80772576248296,-43.32271511260881,131.46247768774703,r_57,r,greedy r,WFD (greedy)
207,61414.034339172555,330.9484238865688,54.294375236300255,21.85364457011076,43.248498332641894,r_57,r,greedy r,WFD (greedy)
208,61415.034984436155,236.9456484185691,33.37358060214758,-45.33650831385588,57.98967699911761,r_57,r,"twilight_near_sun, 0",twilight
209,61416.034147922146,335.0347573048303,59.241471897864955,1.3870561962979855,67.12316381694666,r_57,r,greedy r,WFD (greedy)
210,61417.033962167625,5.698417460392104,71.19756727430489,24.318746253222727,70.57938917106289,r_57,r,greedy r,WFD (greedy)
211,61418.03387598879,4.778541848187285,62.19921350474029,10.395902020849064,83.61087111934393,r_57,r,greedy r,WFD (greedy)
212,61419.03448411045,236.0151921106399,31.719182485732613,-35.99048497789256,49.768601609477074,z_20,z,"twilight_near_sun, 0",twilight
213,61420.033517930766,339.2628698338294,65.97673639964253,37.299295011021954,34.6189729830437,r_57,r,greedy r,WFD (greedy)
214,61421.03339167728,33.63144225638643,57.5129044868063,26.221436981826216,92.24166163087563,r_57,r,greedy r,WFD (greedy)
215,61422.29701532066,356.39588566514936,57.68247821310807,16.928461549839266,69.87975257519074,y_10,y,"DD:COSMOS, 20270116, 0, 49963",DDF
216,61423.03355472497,244.2924631913245,32.33120552777042,-44.23543361831859,60.42216593821739,r_57,r,"twilight_near_sun, 0",twilight
217,61424.03269312696,321.89476770653437,74.30369307441413,-44.17980930743779,100.07342772993323,r_57,r,greedy r,WFD (greedy)
218,61425.032310715564,341.873622959893,68.03579906334969,52.14025352772686,21.938935204855174,r_57,r,greedy r,WFD (greedy)
220,61427.0323395378,245.16793224848308,32.877923918682946,-23.85470103906559,39.97593066011287,r_57,r,"twilight_near_sun, 0",twilight
221,61428.03130393812,27.532263857273314,67.34145054842108,-0.7444064239416008,114.50209385328029,r_57,r,greedy r,WFD (greedy)
222,61429.03108983201,47.60831253343077,34.42299188643857,19.69134630269418,110.74477291382155,r_57,r,greedy r,WFD (greedy)
223,61430.03060600024,36.029307425684706,60.32723372966656,55.062978303450315,65.46975652471433,r_57,r,greedy r,WFD (greedy)
224,61431.030832549666,242.16405290713774,32.70617628289628,-25.605347327697213,40.71821701005916,z_20,z,"twilight_near_sun, 0",twilight
226,61433.02940036793,46.4311793006295,34.055305711819145,-56.856786491833944,186.52662822966664,r_57,r,greedy r,WFD (greedy)
227,61434.02873952833,20.56130289260822,67.00466251226587,7.334266868646964,100.38243879515481,r_57,r,greedy r,WFD (greedy)
228,61435.02893213015,251.53719006291226,31.489874843628247,16.1004634757368,3.1896179514706473,i_39,i,"twilight_near_sun, 0",twilight
229,61436.02779244098,20.38737817334157,70.17821568525981,-46.50212986191852,154.23748919673648,r_57,r,greedy r,WFD (greedy)
230,61437.02728792461,345.93970132488465,58.25751720158974,-42.5869543945668,120.33707818759333,r_57,r,greedy r,WFD (greedy)
231,61438.02672885363,337.402455207523,73.02626046820495,-8.680864580633235,78.49773909253386,r_57,r,greedy r,WFD (greedy)
232,61439.02686261339,247.3095898964877,32.656701987888695,55.95801797139972,321.08229475412827,r_57,r,"twilight_near_sun, 0",twilight
233,61440.02557988849,19.169145445568326,68.28373442811284,12.297160300216083,94.26964731516064,r_57,r,greedy r,WFD (greedy)
234,61441.02506054043,20.836488458559568,71.86848148682988,52.81156818981135,55.429963192,r_57,r,greedy r,WFD (greedy)
235,61442.02441402331,354.21774583347536,71.45891253084925,37.51193065486344,47.24082416762952,r_57,r,greedy r,WFD (greedy)
236,61443.02451844404,246.3637520311029,31.47061778513441,-3.912777859015378,21.362111734492448,i_39,i,"twilight_near_sun, 0",twilight
237,61444.023192224726,18.748200852727894,64.42405616510531,34.822429412751916,71.2321616553424,r_57,r,greedy r,WFD (greedy)
238,61445.02281539531,304.2208193167247,74.49154433148603,-57.28571965012303,97.3051824847886,r_57,r,greedy r,WFD (greedy)
239,61446.02192603651,343.66993328039905,72.73671592911718,-45.90531959264012,121.2866938707007,r_57,r,greedy r,WFD (greedy)
240,61447.02193707163,247.03126442454723,33.79516981689958,39.525152302259514,336.6531508114384,r_57,r,"twilight_near_sun, 0",twilight
241,61448.0205486399,3.6870590868388105,71.43319731015372,36.590331872944326,56.51019185103696,r_57,r,greedy r,WFD (greedy)
244,61451.01903346343,263.5832247653123,31.18550075446163,12.73330501495077,11.157418774205315,i_39,i,"twilight_near_sun, 0",twilight
245,61452.017904016204,316.6956965250955,53.92676927709349,44.46645673501007,9.04211670316748,r_57,r,greedy r,WFD (greedy)
246,61453.01716194329,317.86460156728367,48.90378984717245,12.68171589936055,41.738044469524986,r_57,r,greedy r,WFD (greedy)
247,61454.01638572252,322.2700482813105,53.53558033815888,-10.118934397922596,68.07233462903757,r_57,r,greedy r,WFD (greedy)
248,61455.01617582188,251.55032097485102,33.475048504844246,-15.11628087054985,33.26934740994592,z_20,z,"twilight_near_sun, 0",twilight
249,61456.014810877314,334.62284370221596,54.48969762217107,-8.44005008616319,76.54581589126447,r_57,r,greedy r,WFD (greedy)
252,61459.012981096144,264.49504256254806,32.18507850277846,-5.536293094499455,29.441437420148176,r_57,r,"twilight_near_sun, 0",twilight
253,61460.01178902762,36.91210928335841,36.06586409930262,-30.013603631040205,152.39282080070936,r_57,r,greedy r,WFD (greedy)
254,61461.01083815597,351.5688265717386,62.21708963396138,-30.962947020352885,113.52664178776982,r_57,r,greedy r,WFD (greedy)
255,61462.01004153309,338.40238017884025,60.42567745363706,30.080387821649627,41.2134464912029,r_57,r,greedy r,WFD (greedy)
256,61463.009816373415,257.9297023291159,33.02200254437768,37.962004054365316,342.9537304862338,z_20,z,"twilight_near_sun, 0",twilight
257,61464.00840743553,339.56337496140105,67.67131859919779,-46.639142879836044,118.69887499857043,r_57,r,greedy r,WFD (greedy)
258,61465.007597545125,349.7386446229035,72.92096258056267,-51.03903711802282,131.78068431625326,r_57,r,greedy r,WFD (greedy)
259,61466.00682630288,36.25344553935436,55.27676464356902,11.726724538697525,108.85627389149667,r_57,r,greedy r,WFD (greedy)
260,61467.00649387516,259.4588347817754,32.48211264336667,-42.4911122753612,64.2426283440795,z_20,z,"twilight_near_sun, 0",twilight
261,61468.005119834444,10.71148871721526,52.93249053719962,39.424922877527415,59.71924399342922,r_57,r,greedy r,WFD (greedy)
262,61469.1161596988,228.42271586989293,32.942478291714735,18.545636947109553,351.0149036545411,u_24,u,"DD:EDFS_a, 20270304, 0, 2016",DDF
263,61470.115314511866,228.10059906921907,31.86086194320752,36.797018149437946,333.8765101965029,r_57,r,"DD:EDFS_a, 20270305, 0, 2526",DDF
264,61471.00314316884,255.32588226783338,32.92766338849502,50.46935787134603,329.4360157570277,z_20,z,"twilight_near_sun, 0",twilight
265,61472.11286771707,324.7311945951384,61.40812018855779,-39.765871515809586,99.52709845514212,i_39,i,"pair_33, iz, bs 45, a",WFD (pairs)
